doi,title,author,journaltitle,volume,issue,pubdate,pagerange,abstract,FE type,N*T,Methods Citation,Time,Notes
10.2307/1519902,Civil Wars and Economic Growth: Spatial Dispersion,"James C. Murdoch, Todd Sandler",American Journal of Political Science,48,1,2004-01-01,pp. 138-151,"This article quantifies the impact of civil wars on economic growth at home and in nearby countries. Three alternative measures of nearness-contiguity, length of contiguous borders, and distance of closest approach-are used to capture the spatial dispersion of civil war consequences. We present short-run panel estimates (at five-year intervals) and long-run (1961-95) panel estimates for the world. Generally, the distance measures, novel to this study, and not contiguity provides the most accurate measure of the diffusion of the negative economic consequences of civil wars on other countries. Unlike earlier studies, we also investigate the temporal influence of civil wars on growth at home and in nearby countries. Both the duration and the timing of civil wars have an economic impact.",One-way(Time),84*7,,White SE,
10.2307/1519883,The Power of Money: Global Capital and Policy Choices in Developing Countries,George E. Shambaugh,American Journal of Political Science,48,2,2004-04-01,pp. 281-295,"Extant studies of the impact that international phenomena have on policy choices, and those focused on the political economy of exchange-rate regimes in particular, are incomplete because they do not consider the effect that reliance on global capital has on the policy preferences of domestic groups. Consequently, they cannot explain why some newly emerging market countries pursue fixed exchange regimes under political and economic conditions-such as recently completed elections, uncompetitive export sectors, and poor national economic performance-in which others have altered their policies. I argue that reliance on different types of foreign capital generates distinct capital-specific policy preferences. Furthermore, rather than simply mimicking the preferences of foreign investors, domestic groups are likely to promote policies that reduce their capital-specific risks and vulnerabilities. Panel logit models of exchange-rate regimes in emerging market countries from 1973 through 2000 demonstrate that higher levels of democracy bolster these effects.",One-way(Within),,,Lagged DV,
10.2307/1519881,Accountability and Coercion: Is Justice Blind When It Runs for Office?,"Gregory A. Huber, Sanford C. Gordon",American Journal of Political Science,48,2,2004-04-01,pp. 247-263,"Through their power to sentence, trial judges exercise enormous authority in the criminal justice system. In 39 American states, these judges stand periodically for reelection. Do elections degrade their impartiality? We develop a dynamic theory of sentencing and electoral control. Judges discount the future value of retaining office relative to implementing preferred sentences. Voters are largely uninformed about judicial behavior, so even the outcome of a single publicized case can be decisive in their evaluations. Further, voters are more likely to perceive instances of underpunishment than overpunishment. Our theory predicts that elected judges will consequently become more punitive as standing for reelection approaches. Using sentencing data from 22,095 Pennsylvania criminal cases in the 1990s, we find strong evidence for this effect. Additional tests confirm the validity of our theory over alternatives. For the cases we examine, we attribute at least 1,818 to 2,705 years of incarceration to the electoral dynamic.",One-way(Within),,,,
10.2307/3449664,A Wider Race? Interstate Competition across Health and Welfare Programs,"Michael A. Bailey, Mark Carl Rom",The Journal of Politics,66,2,2004-05-01,pp. 326-347,"Does interstate competition reduce welfare generosity? Most analyses of this question focus on Aid to Families with Dependent Children (AFDC) benefit levels. The welfare-reducing logic of interstate competition should apply to all redistributive programs, however. We test for competitive effects more generally, examining several measures of welfare generosity for AFDC, Medicaid, and Supplemental Security Income-State (SSI-S) policy. We find evidence of interstate competition across multiple programs and measures over which states have authority. We also find variation in the effects that is consistent with variation in political debates across the programs.",Two-way,48*21,Baltagi (1995),Lagged DV,
10.2307/3449672,Organized Interests and the Politics of Federal Discretionary Grants,"Robert C. Lowry, Matthew Potoski",The Journal of Politics,66,2,2004-05-01,pp. 513-533,"Despite their importance in theories of distributive spending, interest groups and other private and public organizations are largely absent from empirical research on the allocation of federal spending to subnational jurisdictions. We find that organized interests are significant determinants of the allocation of federal discretionary grants to states for 1991 through 1998 across seven policy areas. In contrast, we find only meager effects for supply-side variables suggested by the literature. We conjecture that supply-side effects are highly contingent on political circumstances and the type of spending being analyzed.",One-way(Time),50*7,,Lagged DV,
10.2307/4145311,Remodeling the Competition for Capital: How Domestic Politics Erases the Race to the Bottom,"Scott J. Basinger, Mark Hallerberg",The American Political Science Review,98,2,2004-05-01,pp. 261-276,"This paper proposes and tests a new formal model of the competition for capital using the analogy of a ""tournament"" as a substitute for the ""race-to-the-bottom "" model. Our key insight is that political costs that accompany legislating have both direct and indirect effects on the likelihood and scale of reforms. While countries with higher political costs are less likely themselves to enact reforms, the presence of these costs also reduces competing countries' incentives to reform regardless of their own political costs. Domestic politics therefore mitigates the pressures for downward convergence of tax policy despite increased capital mobility. We examine the capital tax policies in OECD countries during the period from 1980 to 1997 and find that states are sensitive to tax reforms in competitor countries, although their responses to reforms are mediated by their own domestic costs to reform. We define two potential sources of political costs of reform: transaction costs, due to the presence of multiple veto players in the legislative process, and constituency costs, due to ideological opposition to policy changes that benefit capital. Our evidence reveals that a reduction in these costs either domestically or abroad increases the likelihood that a country enacts tax reforms.",One-way(Within),25*17,Beck (2001),"PCSEs, Lagged DV",
10.2307/1519912,Political Partisanship and Welfare State Reform in Advanced Industrial Societies,"James P. Allan, Lyle Scruggs",American Journal of Political Science,48,3,2004-07-01,pp. 496-512,"In this article we evaluate two claims made in recent studies of the welfare states of advanced industrial societies: first, that welfare states have remained quite resilient in the face of demands for retrenchment; and second, that partisan politics have ceased to play a decisive role in their evolution. Addressing the first claim, we present analysis from a new data set on unemployment insurance and sickness benefit replacement rates for 18 countries for the years 1975-99. We find considerably more evidence of welfare retrenchment during the last two decades than do recent cross-national studies. Second, we examine the ""end of partisanship"" claim by estimating the effects of government partisanship on changes in income replacement rates in sickness and unemployment programs. Our results suggest that, contrary to claims that partisanship has little impact on welfare state commitments, traditional partisanship continues to have a considerable effect on welfare state entitlements in the era of retrenchment.",One-way(Within),18*24,Beck and Katz (1995),"PCSEs, Lagged DV",
10.2307/1519936,The Impact of Income on the Taste for Revolt,Robert MacCulloch,American Journal of Political Science,48,4,2004-10-01,pp. 830-848,"The question of how the level of development affects revolutionary support in society is of fundamental importance. One approach to provide an answer has been to study the relationship between actual civil conflict and income at the national level. This article takes a different approach. It uses microdata sets based on surveys of revolutionary support across one-quarter of a million people and identifies how the responses vary with their incomes. We find that a rise in GDP of $US 1,600 per capita in 2001 values decreases the chances of supporting revolt by 2.4 percentage points which represents a 41% drop in the proportion of people wanting a revolution. For a person who jumps from the bottom to top income quartile within their country, the probability declines by a similar amount. The results are robust to controlling for country and year effects, country-specific time trends and take account of the potential endogeneity of GDP.",Two-way,12*24,Moulton (1986),"White SEs, Linear Trend",
10.2307/1519926,Economic Insecurity and the Globalization of Production,"Kenneth Scheve, Matthew J. Slaughter",American Journal of Political Science,48,4,2004-10-01,pp. 662-674,"A central question in the international and comparative political economy literatures on globalization is whether economic integration increases worker insecurity in advanced economies. Previous research has focused on the role of international trade and has failed to produce convincing evidence that such a link exists. In this article, we argue that globalization increases worker insecurity, but that foreign direct investment (FDI) by multinational enterprises (MNEs) is the key aspect of integration generating risk. FDI by MNEs increases firms' elasticity of demand for labor. More-elastic labor demands, in turn, raise the volatility of wages and employment, all of which tends to make workers feel less secure. We present new empirical evidence, based on the analysis of panel data from Great Britain collected from 1991 to 1999, that FDI activity in the industries in which individuals work is positively correlated with individual perceptions of economic insecurity. This correlation holds in analyses accounting for individual-specific effects and a wide variety of control variables.",One-way(Time),9000*8,,Lagged DV,
10.2307/3449538,Relative Unemployment and Gubernatorial Popularity,"Jeffrey E. Cohen, James D. King",The Journal of Politics,66,4,2004-11-01,pp. 1267-1282,"Considerable debate exists over whether the public holds the governor accountable for the state's economy. Part of the controversy stems from weak design and limitations in data, but part also from weakness in theory. We argue that voters recognize the limitations of state governments to affect the state economy and that they judge their governors on the state's unemployment situation relative to the unemployment situation of the national economy. To test this theory we use the Official State Job Approval Ratings (JAR) database. Our analysis finds that citizens grade the governor's job performance consistent with our theory: no matter the level of unemployment in the state, when state unemployment is lower than the national average, governors are rewarded; when it is higher than the national average, governors are punished with lower approval levels.",One-way(Within),50*21,,,
10.2307/3449535,Quota Legislation and the Election of Women: Learning from the Costa Rican Experience,Mark P. Jones,The Journal of Politics,66,4,2004-11-01,pp. 1203-1223,"National quota legislation is theoretically unrivaled in its ability to substantially increase the number of women legislators elected. However, not all legislation is equally effective in achieving this goal. In order to improve scholarly understanding of the effect of quota legislation on the election of women, this study takes advantage of a unique quasi-experiment provided by Costa Rica, which over the past ten years employed three distinct forms of quota legislation. Evidence from Costa Rica suggests that to achieve optimal effectiveness, quota legislation must require political parties to place a minimum percentage of women on their lists, as well as mandate these placements be in electable positions.",One-way(Time),81*5,,"PCSEs, Lagged DV",
10.2307/4145327,Does the Organization of Capital Matter? Employers and Active Labor Market Policy at the National and Firm Levels,"Cathie Jo Martin, Duane Swank",The American Political Science Review,98,4,2004-11-01,pp. 593-611,"Does the organization of business matter for social policy development in the advanced capitalist democracies? Conventional welfare state analysis has given this significant question scant attention. We argue, however, that the representational power of business, coordination across business interest units, and integration of associations in corporatist policy-making forums, or what we call the social corporatist organization of business, should result in greater support and participation by employers in social policy formation and implementation. We test our arguments with models both of 1980-98 pooled time-series data on within- and across-country variation in spending on active labor market programs and of extensive firm-level survey data from Denmark and the United Kingdom. We find that the centralization and coordination of employers as well as the integration of employer organizations in corporatist policy-making forums are strongly associated with shares of national income devoted to active labor market policy. We find, moreover, that the degree of employer organization conditions active labor market policy responses to ""de-industrialization"" and increases in general unemployment. At the firm level, membership in an employer association has a significant positive effect on employer participation in active labor market programs in corporatist Denmark but not in the pluralist United Kingdom.",Two-way,18*18,Beck and Katz (1995),"PCSEs, Lagged DV",
10.2307/3647714,Signals from the Tenth Justice: The Political Role of the Solicitor General in Supreme Court Decision Making,"Michael A. Bailey, Brian Kamoie, Forrest Maltzman",American Journal of Political Science,49,1,2005-01-01,pp. 72-85,"Conventional explanations of the solicitor general's influence on the Supreme Court emphasize his expertise or experience. We articulate and test a more political account based on insights from signaling theory. We argue justices will be more receptive to signals from the solicitor general (S.G.) when either the justice and S.G. are ideologically proximate or the S.G.'s signal is contrary to his ideological predisposition. We test our account over the period from 1953 to 2002 using a newly developed interinstitutional measure of ideology that places executive and judicial actors on the same spatial scale. Our results highlight the political nature of the S.G.'s influence, challenging the received wisdom about the S.G.'s impact on the Supreme Court.",One-way(Within),*51,,White SEs,
10.2307/3647715,Assessing the Effectiveness of International Environmental Agreements: The Case of the 1985 Helsinki Protocol,"Evan J. Ringquist, Tatiana Kostadinova",American Journal of Political Science,49,1,2005-01-01,pp. 86-102,"The last few decades have been marked by the emergence of a number of environmental protection regimes in the international arena. We know little about the effectiveness of these regimes, however, largely because such evaluations face the formidable obstacles of a scarcity of time series data on environmental quality, a complex mix of nonpolicy factors that affect environmental quality, and the fact that participation in nearly all international environmental agreements is voluntary, which means that policy effectiveness must be estimated from self-selected samples. In this article we assess the effects of the 1985 Helsinki Protocol for reducing sulfur dioxide emissions in Europe, paying particularly close attention to the obstacles noted above. We find that while nations ratifying the Helsinki Protocol have experienced significant emission reductions, the protocol itself has had no discernible effect on emissions. We end the article by discussing the implication of these results for the effectiveness of international environmental regimes in general.",One-way(Within),19*15,Beck and Katz (1995),"Linear trend, PCSEs",
10.2307/3449714,An Alternative Measure of Relative Education to Explain Voter Turnout,Steven Tenn,The Journal of Politics,67,1,2005-02-01,pp. 271-282,"Nie, Junn, and Stehlik-Barry (1996) develop a theory in which relative, rather than absolute education determines political participation. Empirical tests of this theory have been unable to isolate the effect of education from other factors that impact participation. We propose an alternative definition in which education is measured relative to those born in the same year. This is used to estimate a model of voter turnout that controls for both absolute and relative education. The results show that this new measure of relative education has far more explanatory power than does absolute education. This finding has significant implications regarding how education affects both aggregate voter turnout levels and inequality in voter participation.",Two-way,*15,,,
10.2307/3449702,"Strategy, Selection, and Candidate Competition in U.S. House and Senate Elections",Jamie L. Carson,The Journal of Politics,67,1,2005-02-01,pp. 1-28,"In the context of congressional elections research on candidate competition, two lines of inquiry have received a considerable amount of scholarly attention. The first deals with the issue of strategic candidate emergence in seeking to identify the conditions under which experienced candidates will challenge incumbents. The second focuses on the question of incumbents' career choices, particularly in terms of their decisions to seek reelection or retire. While past research has treated these questions as mutually exclusive, I argue in this article that such explanations are incomplete due to the complementary nature of the approaches. To unify these related research agendas, I develop a theoretical model of strategic interaction between congressional challengers and incumbents and test the model with House and Senate elections data from 1976 to 2000 using a strategic probit technique. The results both confirm and challenge a number of findings in the literature on candidate competition.",One-way(Time),435*12,,White SEs,
10.2307/30038919,Insider-Outsider Politics in Industrialized Democracies: The Challenge to Social Democratic Parties,David Rueda,The American Political Science Review,99,1,2005-02-01,pp. 61-74,"In much of the political economy literature, social democratic governments are assumed to defend the interests of labor. The main thrust of this article is that labor is divided into those with secure employment (insiders) and those without (outsiders). I argue that the goals of social democratic parties are often best served by pursuing policies that benefit insiders while ignoring the interests of outsiders. I analyze Eurobarometer data and annual macrodata from 16 OECD countries from 1973 to 1995. I explore the question of whether strategies prevalent in the golden age of social democracy have been neglected and Left parties have abandoned the goal of providing equality and security to the most vulnerable sectors of the labor market. By combining research on political economy, institutions, and political behavior, my analysis demonstrates that insider-outsider politics are fundamental to a fuller explanation of government partisanship, policy-making, and social democracy since the 1970s.",One-way(Within),16*22,Hsiao (1986),"PCSEs, Lagged DV",
10.2307/3647681,Democracy and Education Spending in Africa,David Stasavage,American Journal of Political Science,49,2,2005-04-01,pp. 343-358,"While it is widely believed that electoral competition influences public spending decisions, there has been relatively little effort to examine how recent democratization in the developing world has resulted in changes in basic service provision. There have been even fewer attempts to investigate whether democracy matters for public spending in the poorest developing countries, where ""weak institutions"" may mean that the formal adoption of electoral competition has little effect on policy. In this article I confront these questions directly, asking whether the shift to multiparty competition in African countries has resulted in increased spending on primary education. I develop an argument, illustrated with a game-theoretic model, which suggests that the need to obtain an electoral majority may have prompted African governments to spend more on education and to prioritize primary schools over universities within the education budget. I test three propositions from the model using panel data on electoral competition and education spending in African countries. I find clear evidence that democratically elected African governments have spent more on primary education, while spending on universities appears unaffected by democratization.",One-way(Within),44*16,,,
10.2307/3647676,Party Government in Presidential Democracies: Extending Cartel Theory beyond the U.S. Congress,"Mark P. Jones, Wonjae Hwang",American Journal of Political Science,49,2,2005-04-01,pp. 267-282,"Cartel Theory (and partisan theory more generally) expertly explains the functioning of the U.S. Congress. However, as a theory originally developed to study a single legislature where the institutional context differs greatly from that found in other presidential democracies, its applicability to these democracies has been questioned. Between one extreme represented by the United States (where legislators control their own political future) and the other represented by centralized party systems (where the national party leadership controls legislators' future) exists an intermediate group of democracies where subparty bosses are the key actors, controlling the future of subsets of a party's legislative delegation. We analyze one of these intermediate democracies, Argentina, and demonstrate the general applicability of Cartel Theory to an institutional context that differs notably from that found in the United States. We highlight how the theory can be adapted to a political system where subparty bosses, not individual legislators, are the most relevant political actors.",One-way(Within),*8,,Splines,
10.2307/3449635,Residual Votes Attributable to Technology,"Stephen Ansolabehere, Charles Stewart III",The Journal of Politics,67,2,2005-05-01,pp. 365-389,"We examine the relative performance of voting technologies by studying presidential, gubernatorial, and senatorial election returns across hundreds of counties in the United States from 1988 to 2000. Relying on a fixed-effects regression applied to an unbalanced panel of counties, we find that in presidential elections, traditional paper ballots produce the lowest rates of uncounted votes (i.e., ""residual votes""), followed by optically scanned ballots, mechanical lever machines, direct register electronic machines (DREs), and punch cards. In gubernatorial and senatorial races, paper, optical scan ballots, and DREs are significantly better in minimizing the residual vote rate than mechanical lever machines and punch cards. If all jurisdictions in the United States that used punch cards in 2000 had used optically scanned ballots instead, we estimate that approximately 500,000 more votes would have been attributed to presidential candidates nationwide.",Two-way,2800*3,,,
10.2307/30038935,Flexing Muscle: Corporate Political Expenditures as Signals to the Bureaucracy,"Sanford C. Gordon, Catherine Hafer",The American Political Science Review,99,2,2005-05-01,pp. 245-261,"Regulatory agencies impose costs and benefits tailored to individual firms through their discretionary enforcement activities. We propose that corporations use political expenditures in part to ""flex their muscles"" to regulators and convey their willingness to fight an agency's specific determinations in the political arena. Because the signaling function of political expenditures is strategically complex, we derive a formal model wherein we demonstrate the existence of an equilibrium in which (1) large political donors are less compliant than smaller ones, but the bureaucracy monitors them less, and (2) firms with publicly observable problems reduce their political expenditures. We test the empirical implications of the model using plant-level data from the Nuclear Regulatory Commission on the inspection of 63 privately operated nuclear power plants and the political expenditures of their parent companies. We find strong evidence for the first prediction and qualified support for the second.",One-way(Within),72*8,,Lagged DV,
10.2307/3647732,Do Economic Sanctions Destabilize Country Leaders?,Nikolay Marinov,American Journal of Political Science,49,3,2005-07-01,pp. 564-576,"Do economic sanctions destabilize the governments they target? A form of foreign pressure, sanctions are typically meant to alter the policies of other countries. There is much pessimism on whether they ever work. This article shows that economic pressure works in at least one respect: it destabilizes the leaders it targets. I present a theoretical argument that explains why destabilization is a necessary condition for successful coercion. I find evidence that pressure destabilizes in a large panel of cross-country time-series data. The destabilization finding indicates that sanctions may be more effective at altering policies than we think. I conclude by noting that greater optimism regarding the effectiveness of sanctions should be balanced by a careful consideration of the policy's real and sizeable costs for those caught in the middle.",One-way(Within),136*80,"Beck, Katz and Tucker (1998)",,
10.2307/3647730,"Manufactured Responsiveness: The Impact of State Electoral Laws on Unified Party Control of the Presidency and House of Representatives, 1840-1940","Erik J. Engstrom, Samuel Kernell",American Journal of Political Science,49,3,2005-07-01,pp. 531-549,"The modern history of divided government in America suggests that the framers succeeded in creating a government unresponsive to popular passions. Yet in the nineteenth century the party winning the presidency almost always captured control of the House of Representatives. Why and how could nineteenth century national elections be so responsive that they resemble parliamentary outcomes? We identify electoral institutions present in the states that directly linked congressional elections to presidential coattails. Specifically, we estimate the impact of state ballot laws and the strategic design of congressional districts on presidential coattail voting from 1840 to 1940. We find that presidential elections, as mediated by state electoral laws, strongly account for unified party control of the House and the presidency throughout the nineteenth century.",One-way(Within),37*100,Beck and Katz (1995),PCSEs,
10.2307/3647727,Congressional Politics of International Financial Rescues,J. Lawrence Broz,American Journal of Political Science,49,3,2005-07-01,pp. 479-496,"In the 1990s, the American executive organized financial rescues for Mexico and several Asian economies. These rescues were controversial in Congress, where members voted repeatedly to reduce or eliminate the executive's freedom to engage in them. I analyze these roll calls with an eye toward explaining who opposes and who supports international financial rescues. I argue that the interests of private actors (district constituencies and interest groups) have an important effect on member voting. Following Stolper-Samuelson reasoning, I find that a member is significantly more likely to favor (oppose) rescues as the proportion of high-skilled (low-skilled) workers in a district increases. In addition, I find that campaign contributions from international banks increase the probability that a member will vote in favor of rescues. Overall, the findings suggest that the distributional effects of rescues find expression in Congress and constrain U.S. international financial policymaking.",One-way(Within),2*74,,White SEs,
10.2307/3647736,"The Effects of Capital Mobility, Trade Openness, and Democracy on Social Spending in Latin America, 1980-1999","George Avelino, David S. Brown, Wendy Hunter",American Journal of Political Science,49,3,2005-07-01,pp. 625-641,"Empirical studies measuring the impact of globalization on social spending have appeared recently in leading journals. This study seeks to improve upon previous work by (1) employing a more sophisticated and comprehensive measure of financial openness; (2) using a more accurate measure of trade openness based on purchasing power parities; and (3) relying on social spending data that are more complete than those used by previous studies on Latin America. Our estimates suggest that several empirical patterns reported in previous work deserve a second look. We find that trade openness has a positive association with education and social security expenditures, that financial openness does not constrain government outlays for social programs, and that democracy has a strong positive association with social spending, particularly on items that bolster human capital formation.",Two-way,19*19,,"PCSEs, Lagged DV",
10.2307/30038944,Competition between Unequals: The Role of Mainstream Party Strategy in Niche Party Success,Bonnie M. Meguid,The American Political Science Review,99,3,2005-08-01,pp. 347-359,"What accounts for variation in the electoral success of niche parties? Although institutional and sociological explanations of single-issue party strength have been dominant, they tend to remove parties from the analysis. In this article, I argue that the behavior of mainstream parties influences the electoral fortunes of the new, niche party actors. In contrast to standard spatial theories, my theory recognizes that party tactics work by altering the salience and ownership of issues for political competition, not just party issue positions. It follows that niche party support can be shaped by both proximal and non-proximal competitors. Analysis of green and radical right party vote in 17 Western European countries from 1970 to 2000 confirms that mainstream party strategies matter; the modified spatial theory accounts for the failure and success of niche parties across countries and over time better than institutional, sociological, and even standard spatial explanations.",One-way(Within),17*30,Beck and Katz (1995),"PCSEs, Lagged DV",
10.2307/3647692,Globalization and the Strengthening of Democracy in the Developing World,Nita Rudra,American Journal of Political Science,49,4,2005-10-01,pp. 704-730,"Scholars and policy makers have long assumed that trade and financial liberalization encourages developing countries to become more democratic; yet no one has developed formal hypotheses about the causal relationship between globalization and democracy. This article shows that these two trends are indeed related, but not necessarily in the direct manner that has commonly been postulated. Combining theories of embedded liberalism and conflict-based theories of democracy, the model presented here depicts the process that affects decisions to strengthen democracy as trade and capital flows increase. I argue that increasing exposure to international export and financial markets leads to improvements in democracy if safety nets are used simultaneously as a strategy for providing stability and building political support. Empirical evidence is provided by econometric analysis covering 59 developing countries for the time period 1972-97.",Two-way,59*25,Beck and Katz (1995),"PCSEs, Prais-Winsten",
10.2307/3449897,Politics and State Punitiveness in Black and White,"Jeff Yates, Richard Fording",The Journal of Politics,67,4,2005-11-01,pp. 1099-1121,"Recent findings from the literature on imprisonment policy suggest that in addition to traditional social and economic variables, imprisonment rates are also strongly related to changes in the state political environment. In this study, we extend this literature by testing a theory of state punitiveness which posits that (1) the political environment of states influences the degree to which they incarcerate their citizens, and (2) the political determinants of state punitiveness may be conditional upon the racial subpopulation being incarcerated. Our results suggest that increases in state political conservatism in recent decades have contributed to increases in both the growth in black imprisonment rates and black imprisonment disparity (relative to whites), but that these effects are, to a degree, tempered by countervailing political conditions.",One-way(Time),45*18,Beck and Katz (1995),PCSEs,
10.2307/30038965,Centripetal Democratic Governance: A Theory and Global Inquiry,"John Gerring, Strom C. Thacker, Carola Moreno",The American Political Science Review,99,4,2005-11-01,pp. 567-581,"Why are some democratic governments more successful than others? What impact do various political institutions have on the quality of governance? This paper develops and tests a new theory of democratic governance. This theory, which we label centripetalism, stands in contrast to the dominant paradigm of decentralism. The centripetal theory of governance argues that democratic institutions work best when they are able to reconcile the twin goals of centralized authority and broad inclusion. At the constitutional level, our theory argues that unitary, parliamentary, and list-PR systems (as opposed to decentralized federal, presidential, and nonproportional ones) help promote both authority and inclusion, and therefore better governance outcomes. We test the theory by examining the impact of centripetalism on eight indicators of governance that range across the areas of state capacity, economic policy and performance, and human development. Results are consistent with the theory and robust to a variety of specifications.",One-way(Within),77*13,"Beck and Katz (1995), Newey and West (1987)","Newey-West, White SEs, PCSEs, Time Trend",
10.2307/27644336,Wage Arrears and Economic Voting in Russia,Kaspar Richter,The American Political Science Review,100,1,2006-02-01,pp. 133-145,"This paper revisits the issue of economic voting in the context of the 1996 Presidential Election in Russia. The election was branded as a fundamental choice between capitalism and communism, yet voters were also grappling with a large crisis of personal finances: about one in two workers experienced nonpayments of wages at the time of the elections. The analysis exploits a rich nationally representative household panel dataset to identify the impact of wage arrears on the second-round election outcome. Wage arrears reduced the vote for the incumbent President Yeltsin among workers from around 65% to 49%, which amounts to a drop of 4% in the Yeltsin vote in the second round. Support for Yeltsin vote declined with the amount of wage arrears at the time of the vote and with wage arrears in 1995. Wage arrears led more voters to believe the government to be noncaring and to favor income restrictions for the rich. Political attitudes of working men changed more than those of working women.",One-way(Within),,,,
10.2307/3694279,Social Context and Campaign Volatility in New Democracies: Networks and Neighborhoods in Brazil's 2002 Elections,"Andy Baker, Barry Ames, Lucio R. Renno",American Journal of Political Science,50,2,2006-04-01,pp. 382-399,"In new democracies party systems are often young, so partisan cues and roots in the electorate tend to be weak. The results, in many instances, include volatile campaigns with comparatively high degrees of short-term preference change among voters. We explore the mechanisms of voter volatility and, more broadly, the ways in which citizens learn about issues and candidates in weak-party systems. We claim that citizens in such settings rely heavily upon persuasive information gathered from their immediate social contexts. Utilizing a unique panel survey implemented during Brazil's historic 2002 presidential election, we demonstrate the importance of political discussion within social networks and neighborhood context for explaining preference change during election campaigns. We also demonstrate the concrete political consequences of social context by showing how candidate momentum runs can be driven by waves of discussion.",One-way(Time),2500*3,,,
10.2307/3694273,"Redistricting, Candidate Entry, and the Politics of Nineteenth-Century U.S. House Elections","Jamie L. Carson, Erik J. Engstrom, Jason M. Roberts",American Journal of Political Science,50,2,2006-04-01,pp. 283-293,"The effects of redistricting on candidate entry patterns in contemporary House races has received growing attention in the scholarly literature, yet virtually no consideration has been given to this question in the context of historical elections. This is unfortunate as the wider variation in congressional redistricting during the nineteenth century gives us increased leverage in terms of understanding strategic candidate behavior. Utilizing a new dataset of candidate quality for nineteenth-century House races, we examine whether candidates with prior electoral experience are more likely to run in districts that are altered during the redistricting process, and provide an account of how differences in the prevalence of redistricting may affect strategic entry decisions of politicians. Our results suggest that entry decisions and electoral outcomes are affected by redistricting in this era. Moreover, our analysis provides an opportunity to use history to test contemporary theories of congressional elections in a broader context.",Two-way,*14,,,
10.2307/3694271,Short versus Long Coalitions: Electoral Accountability and the Size of the Public Sector,"Kathleen Bawn, Frances Rosenbluth",American Journal of Political Science,50,2,2006-04-01,pp. 251-265,"This article examines the policy consequences of the number of parties in government. We argue that parties externalize costs not borne by their support groups. Larger parties thus internalize more costs than small parties because they represent more groups. This argument implies that the public sector should be larger the more parties there are in the government coalition. We test this prediction using yearly time-series cross-sectional data from 1970 to 1998 in 17 European countries. We find that increasing the number of parties in government increases the fraction of GDP accounted for by government spending by close to half a percentage point, or more than one billion current dollars in the typical year. We find little support for the alternative claim that the number of legislative parties affects the size of the public sector, except via the number of parties in government.",One-way(Within),17*28,Beck and Katz (1995) and Arellano (1989) and Arellano and Bond (1991) and Andersen and Hsiao (1982) and Nickel (1981),"PCSEs, Lagged DV",
10.2307/3694277,"Racing to the Bottom? Trade, Environmental Governance, and ISO 14001","Aseem Prakash, Matthew Potoski",American Journal of Political Science,50,2,2006-04-01,pp. 350-364,"Globalization critics argue that international trade spurs a race to the bottom among national environmental standards. ISO 14001 is the most widely adopted voluntary environmental regulation which encourages firms to take environmental action beyond what domestic government regulations require. Drawing on a panel study of 108 countries over seven years, we investigate conditions under which trade linkages can encourage ISO 14001 adoption, thereby countering environmental races to the bottom. We find that trade linkages encourage ISO 14001 adoption if countries' major export markets have adopted this voluntary regulation.",One-way(Within),108*7,Cameron and Trivedi (1998),,
10.2307/3694286,Dimensions of Politics in the European Parliament,"Simon Hix, Abdul Noury, G̩rard Roland",American Journal of Political Science,50,2,2006-04-01,pp. 494-511,"We investigate the dimensionality of politics in the European Parliament by applying a scaling method to all roll-call votes between 1979 and 2001 in the European Parliament. Contrary to most existing studies using these methods, we are able to interpret the substantive content of the observed dimensions using exogenous measures of national party policy positions. We find that the main dimension of politics in the European Union's only elected institution is the classic left-right dimension found in domestic politics. A second dimension is also present, although to a lesser extent, which captures government-opposition conflicts as well as national and European party positions on European integration.",One-way(Within),*5,,White SEs,
10.2307/4639853,Allocating the U.S. Federal Budget to the States: The Impact of the President,"Valentino Larcinese, Leonzio Rizzo, Cecilia Testa",The Journal of Politics,68,2,2006-05-01,pp. 447-456,"This paper provides new evidence on the determinants of the U.S. federal budget allocation to the states. Departing from the existing literature that gives prominence to Congress, we carry on an empirical investigation on the impact of presidents during the period 1982-2000. Our findings suggest that federal budget allocation is affected by presidential politics. States that heavily supported the incumbent president in past presidential elections tend to receive more funds, while marginal and swing states are not rewarded. Party affiliation also matters since states whose governor belong to the same party of the president receive more federal funds, while states opposing the president's party in Congressional elections are penalized. These results show that presidents are engaged in tactical distribution of federal funds and also provide good evidence in support of partisan theories of budget allocation.",Two-way,48*18,,White SEs,
10.2307/3694233,"Transparency, Political Polarization, and Political Budget Cycles in OECD Countries","James E. Alt, David Dreyer Lassen",American Journal of Political Science,50,3,2006-07-01,pp. 530-550,"We investigate the effects of fiscal transparency and political polarization on the prevalence of electoral cycles in fiscal balance. While some recent political economy literature on electoral cycles identifies such cycles mainly in weak and recent democracies, in contrast we show, conditioning on a new index of institutional fiscal transparency, that electoral cycles in fiscal balance are a feature of many advanced industrialized economies. Using a sample of 19 OECD countries in the 1990s, we identify a persistent pattern of electoral cycles in low(er) transparency countries, while no such cycles can be observed in high(er) transparency countries. Furthermore, we find, in accordance with recent theory, that electoral cycles are larger in politically more polarized countries.",Two-way,19*9,Arellano and Bond (1991),,
